_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/world_model_loss,train/rewards_mean,train/epsilon,train/q_pred_mean,train/q_loss,eval/video,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval_video/time_to_first_band_entry_mean,eval/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval/band_visits_mean,eval/success_reach_rate,eval_video/successes_strict,eval_video/successes_reach,eval/successes_reach
0,11.948283672332764,0,1778965029.9567637,,,,,,,,,,,,,,,,,,,,,,,,,
1,4049.0562031269073,199,1778969067.0646832,1.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
2,4049.669164657593,399,1778969067.6776447,2.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
3,4050.3555314540863,599,1778969068.3640115,3.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
4,4051.0135719776154,799,1778969069.022052,4.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
5,4051.6400566101074,999,1778969069.6485367,5.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
6,4052.264889717102,1199,1778969070.2733698,6.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
7,4052.939072370529,1399,1778969070.9475524,7.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
8,4053.600061416626,1599,1778969071.6085415,8.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
9,4054.239731311798,1799,1778969072.2482114,9.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
10,4054.9247641563416,1999,1778969072.9332442,10.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
11,4055.572388648987,2199,1778969073.5808687,11.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
12,4056.225662469864,2399,1778969074.2341425,12.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
13,4056.88258767128,2599,1778969074.8910677,13.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
14,4057.5716845989227,2799,1778969075.5801647,14.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
15,4058.290239572525,2999,1778969076.2987196,15.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
16,4059.071397781372,3199,1778969077.0798779,16.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
17,4059.743954181671,3399,1778969077.7524343,17.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
18,4060.4172008037567,3599,1778969078.4256809,18.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
19,4061.103105068207,3799,1778969079.1115851,19.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
20,4061.7425668239594,3999,1778969079.751047,20.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
21,4062.3829803466797,4199,1778969080.3914604,21.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
22,4063.0244097709656,4399,1778969081.0328898,22.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
23,4063.700608253479,4599,1778969081.7090883,23.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
24,4064.3410727977753,4799,1778969082.3495529,24.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
25,4065.037266969681,4999,1778969083.045747,25.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
26,4065.701315164566,5199,1778969083.7097952,26.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
27,4066.5627615451813,5399,1778969084.5712416,27.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
28,4067.229476213455,5599,1778969085.2379563,28.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
29,4067.898015499115,5799,1778969085.9064956,29.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
30,4068.575602531433,5999,1778969086.5840826,30.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
31,4069.2803902626038,6199,1778969087.2888703,31.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
32,4069.940342903137,6399,1778969087.948823,32.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
33,4070.6015865802765,6599,1778969088.6100667,33.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
34,4071.2424302101135,6799,1778969089.2509103,34.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
35,4071.8832488059998,6999,1778969089.8917289,35.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
36,4072.5391144752502,7199,1778969090.5475945,36.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
37,4073.1822447776794,7399,1778969091.1907248,37.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
38,4073.8341245651245,7599,1778969091.8426046,38.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
39,4074.4793322086334,7799,1778969092.4878123,39.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
40,4075.136210203171,7999,1778969093.1446903,40.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
41,4075.798573255539,8199,1778969093.8070533,41.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
42,4076.4875967502594,8399,1778969094.4960768,42.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
43,4077.120393037796,8599,1778969095.128873,43.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
44,4077.206194162369,8623,1778969095.2146742,44.0,24.0,0.7599999904632568,,,,,,,,,,,,,,,,,,,,,,
45,4077.874396085739,8823,1778969095.8828762,45.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
46,4077.979327440262,8852,1778969095.9878075,46.0,29.0,0.7099999785423279,,,,,,,,,,,,,,,,,,,,,,
47,4078.7941842079163,9052,1778969096.8026643,47.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
48,4079.513640642166,9252,1778969097.5221207,48.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
49,4079.638749361038,9290,1778969097.6472294,49.0,38.0,0.6200000047683716,,,,,,,,,,,,,,,,,,,,,,
50,4080.298510789871,9490,1778969098.3069909,50.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
51,4080.953629016876,9690,1778969098.962109,51.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
52,4081.668806552887,9890,1778969099.6772866,52.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
53,4082.915893793106,10090,1778969100.9243739,53.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
54,4084.542296409607,10290,1778969102.5507765,54.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
55,4086.121001958847,10490,1778969104.129482,55.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
56,4086.2458925247192,10500,1778969104.2543726,,,,0.0007869714172556996,-0.009999999776482582,0.896049976348877,-0.006162293720990419,3.9296000003814697,,,,,,,,,,,,,,,,,
57,4087.8378190994263,10690,1778969105.8462992,56.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
58,4089.5251083374023,10890,1778969107.5335884,57.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
59,4090.36998295784,11000,1778969108.378463,,,,0.0006480071460828185,-0.009999999776482582,0.8910999894142151,-0.012886912561953068,3.9300594329833984,,,,,,,,,,,,,,,,,
60,4091.062029838562,11090,1778969109.07051,58.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
61,4092.687454223633,11290,1778969110.6959343,59.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
62,4094.228396654129,11490,1778969112.2368767,60.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
63,4094.315786600113,11500,1778969112.3242667,,,,0.0003404984890948981,-0.009999999776482582,0.8861500024795532,-0.024341875687241554,3.92277193069458,,,,,,,,,,,,,,,,,
64,4095.7943077087402,11690,1778969113.8027878,61.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
65,4097.317249298096,11890,1778969115.3257294,62.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
66,4098.240211486816,12000,1778969116.2486916,,,,0.00039411219768226147,-0.009999999776482582,0.8812000155448914,-0.023283464834094048,3.9229824542999268,,,,,,,,,,,,,,,,,
67,4098.9760773181915,12090,1778969116.9845574,63.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
68,4100.602169752121,12290,1778969118.6106498,64.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
69,4102.147339820862,12490,1778969120.15582,65.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
70,4102.225815296173,12500,1778969120.2342954,,,,0.0003817104152403772,-0.009999999776482582,0.8762500286102295,-0.033078692853450775,3.9168953895568848,,,,,,,,,,,,,,,,,
71,4103.740243911743,12690,1778969121.748724,66.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
72,4105.254618644714,12890,1778969123.2630987,67.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
73,4106.174991607666,13000,1778969124.1834717,,,,0.0006099746678955853,-0.009999999776482582,0.8712999820709229,-0.0326564759016037,3.9169390201568604,,,,,,,,,,,,,,,,,
74,4106.961022615433,13090,1778969124.9695027,68.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
75,4108.480572938919,13290,1778969126.489053,69.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
76,4110.074643611908,13490,1778969128.0831237,70.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
77,4110.152937173843,13500,1778969128.1614172,,,,0.0008032140322029591,-0.009999999776482582,0.866349995136261,-0.04240478202700615,3.910259962081909,,,,,,,,,,,,,,,,,
78,4111.576549530029,13690,1778969129.5850296,71.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
79,4113.115000486374,13890,1778969131.1234806,72.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
80,4114.039493083954,14000,1778969132.0479732,,,,0.0009414469823241234,-0.009999999776482582,0.8614000082015991,-0.04229162260890007,3.910168170928955,,,,,,,,,,,,,,,,,
81,4114.720911026001,14090,1778969132.729391,73.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
82,4116.288185119629,14290,1778969134.2966652,74.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
83,4118.055371046066,14490,1778969136.063851,75.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
84,4118.141228914261,14500,1778969136.149709,,,,0.0007575492491014302,-0.009999999776482582,0.8564500212669373,-0.0521068349480629,3.9031565189361572,,,,,,,,,,,,,,,,,
85,4119.693151950836,14690,1778969137.701632,76.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
86,4121.254890918732,14890,1778969139.263371,77.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
87,4122.120421409607,15000,1778969140.1289015,,,,0.00039110227953642607,-0.009999999776482582,0.8514999747276306,-0.05146037042140961,3.9035286903381348,,,,,,,,,,,,,,,,,
88,4122.765473127365,15090,1778969140.7739532,78.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
89,4124.343384504318,15290,1778969142.3518646,79.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
90,4125.876313924789,15490,1778969143.884794,80.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
91,4125.969754695892,15500,1778969143.9782348,,,,0.0009505508351139724,-0.009999999776482582,0.8465499877929688,-0.06038932129740715,3.8961687088012695,,,,,,,,,,,,,,,,,
92,4127.5351893901825,15690,1778969145.5436695,81.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
93,4129.270224094391,15890,1778969147.2787042,82.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
94,4130.117168903351,16000,1778969148.125649,,,,0.0006593436701223254,-0.009999999776482582,0.8416000008583069,-0.06169164180755615,3.8962643146514893,,,,,,,,,,,,,,,,,
95,4130.81790971756,16090,1778969148.8263898,83.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
96,4132.387790441513,16290,1778969150.3962705,84.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
97,4133.9156057834625,16490,1778969151.9240859,85.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
98,4134.0047063827515,16500,1778969152.0131865,,,,0.0008457230869680643,-0.009999999776482582,0.836650013923645,-0.07134509086608887,3.8883109092712402,,,,,,,,,,,,,,,,,
99,4135.478576660156,16690,1778969153.4870567,86.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
100,4137.136322021484,16890,1778969155.144802,87.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
101,4138.001094818115,17000,1778969156.009575,,,,0.0004264347953721881,-0.009999999776482582,0.8317000269889832,-0.07128041237592697,3.8883581161499023,,,,,,,,,,,,,,,,,
102,4138.7459926605225,17090,1778969156.7544727,88.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
103,4140.330341100693,17290,1778969158.3388212,89.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
104,4141.834590911865,17490,1778969159.843071,90.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
105,4141.913290977478,17500,1778969159.921771,,,,0.00043554839794524014,-0.009999999776482582,0.8267499804496765,-0.07960829883813858,3.8804430961608887,,,,,,,,,,,,,,,,,
106,4143.38406586647,17690,1778969161.392546,91.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
107,4144.900296926498,17890,1778969162.908777,92.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
108,4145.731900691986,18000,1778969163.7403808,,,,0.0003440454020164907,-0.009999999776482582,0.8217999935150146,-0.07936324179172516,3.881070613861084,,,,,,,,,,,,,,,,,
109,4146.46795797348,18090,1778969164.476438,93.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
110,4148.125945091248,18290,1778969166.1344252,94.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
111,4149.720806598663,18490,1778969167.7292867,95.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
112,4149.830680847168,18500,1778969167.839161,,,,0.00031549797859042883,-0.009999999776482582,0.8168500065803528,-0.08826056867837906,3.873922348022461,,,,,,,,,,,,,,,,,
113,4151.379184484482,18690,1778969169.3876646,96.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
114,4152.920611619949,18890,1778969170.9290917,97.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
115,4153.786317825317,19000,1778969171.794798,,,,0.0002928777248598635,-0.009999999776482582,0.8119000196456909,-0.08859219402074814,3.8732516765594482,,,,,,,,,,,,,,,,,
116,4154.4930691719055,19090,1778969172.5015492,98.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
117,4156.0171575546265,19290,1778969174.0256376,99.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
118,4156.248659133911,19319,1778969174.2571392,100.0,29.0,0.7099999785423279,,,,,,,,,,,,,,,,,,,,,,
119,4157.746433019638,19500,1778969175.754913,,,,0.000355984375346452,-0.009999999776482582,0.8069499731063843,-0.09680677950382233,3.8641932010650635,,,,,,,,,,,,,,,,,
120,4157.875649690628,19519,1778969175.8841298,101.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
121,4159.52653670311,19719,1778969177.5350168,102.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
