,_step,_runtime,global_step,_timestamp,train/episodes,train/episode_length,train/episode_return,train/world_model_loss,train/rewards_mean,train/epsilon,train/q_pred_mean,train/q_loss,eval/successes_strict,eval/ep_len_mean,eval/success_strict_rate,eval/return_mean,eval/time_to_first_band_entry_mean,eval/band_visits_mean,eval/success_reach_rate,eval/successes_reach,eval/video,eval_video/time_to_first_band_entry_mean,eval_video/ep_len_mean,eval_video/return_mean,eval_video/success_reach_rate,eval_video/success_strict_rate,eval_video/band_visits_mean,eval_video/successes_strict,eval_video/successes_reach
0,0,11.755302906036377,0,1778797384.383595,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,3987.011909723282,1399,1778801359.6402018,7.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
2,8,3987.642390012741,1599,1778801360.270682,8.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
3,28,4001.3468561172485,5599,1778801373.9751482,28.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
4,33,4004.701479911804,6599,1778801377.329772,33.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
5,41,4010.1960175037384,8199,1778801382.8243096,41.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
6,47,4013.7059688568115,9246,1778801386.334261,47.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
7,61,4028.3084032535553,11500,1778801400.9366953,,,,0.0012220577336847782,-0.009999999776482582,0.8861500024795532,-0.01539380382746458,3.923194408416748,,,,,,,,,,,,,,,,,
8,64,4032.092757463455,12000,1778801404.7210495,,,,0.0005316081806086004,-0.009999999776482582,0.8812000155448914,-0.017325252294540405,3.9232029914855957,,,,,,,,,,,,,,,,,
9,74,4042.6249947547913,13321,1778801415.2532868,68.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
10,77,4045.8408217430115,13721,1778801418.4691138,70.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
11,85,4055.2127163410187,14921,1778801427.8410084,76.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
12,88,4058.34517455101,15321,1778801430.9734666,78.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
13,102,4072.83198928833,17167,1778801445.4602814,88.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
14,104,4075.508401155472,17500,1778801448.1366932,,,,0.00028839768492616713,-0.009999999776482582,0.8267499804496765,-0.07099518179893494,3.882784366607666,,,,,,,,,,,,,,,,,
15,133,4397.773805141449,21401,1778801770.4020972,110.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
16,136,4401.248605966568,21801,1778801773.876898,112.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
17,147,4414.714578866959,23401,1778801787.342871,120.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
18,149,4416.428279876709,23601,1778801789.056572,121.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
19,150,4417.984083890915,23801,1778801790.612376,122.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
20,155,4423.872409582138,24454,1778801796.5007017,126.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
21,157,4425.607691526413,24654,1778801798.2359836,127.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
22,172,4444.446940422058,26854,1778801817.0752325,138.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
23,180,4454.12152671814,28000,1778801826.7498188,,,,0.0010777984280139208,-0.009999999776482582,0.7228000164031982,-0.15764060616493225,3.79842472076416,,,,,,,,,,,,,,,,,
24,195,4510.146523237228,30000,1778801882.7748153,,,,0.0004653034848161042,-0.009999999776482582,0.703000009059906,-0.17197194695472717,3.78290057182312,0.0,200.0,0.0,-2.0,23.125,0.1599999964237213,0.0,0.0,,,,,,,,,
25,203,4518.327358961105,31001,1778801890.955651,160.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
26,213,4530.165038585663,32500,1778801902.7933307,,,,0.0002648314693942666,-0.009999999776482582,0.6782500147819519,-0.19504813849925995,3.7603368759155273,,,,,,,,,,,,,,,,,
27,217,4534.294834136963,33001,1778801906.9231262,170.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
28,228,4546.645649909973,34500,1778801919.273942,,,,0.00039674079744145274,-0.009999999776482582,0.6584500074386597,-0.21124443411827087,3.744173049926758,,,,,,,,,,,,,,,,,
29,233,4552.327472686768,35222,1778801924.9557648,182.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
30,242,4562.510808229446,36500,1778801935.1391003,,,,0.00021321605890989304,-0.009999999776482582,0.6386500000953674,-0.22488655149936676,3.7245845794677734,,,,,,,,,,,,,,,,,
31,248,4568.529415130615,37250,1778801941.1577072,193.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
32,251,4571.780373334885,37650,1778801944.4086654,195.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
33,259,4581.46430850029,38850,1778801954.0926006,201.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
34,265,4587.9430372715,39650,1778801960.5713294,205.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
35,273,4889.846084833145,40601,1778802262.474377,210.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
36,274,4891.561766862869,40801,1778802264.190059,211.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
37,279,4897.447209596634,41500,1778802270.0755017,,,,0.00024123031471390277,-0.009999999776482582,0.5891500115394592,-0.26577216386795044,3.678985118865967,,,,,,,,,,,,,,,,,
38,283,4901.682684183121,42001,1778802274.3109763,217.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
39,292,4913.089480161667,43390,1778802285.7177722,224.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
40,302,4925.033265352249,44790,1778802297.6615574,231.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
41,321,4946.35718870163,47245,1778802318.9854808,245.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
42,324,4949.843067646027,47645,1778802322.4713597,247.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
43,327,4953.360251665115,48045,1778802325.9885437,249.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
44,330,4957.12112903595,48500,1778802329.7494211,,,,0.0007105174008756876,-0.009999999776482582,0.5198500156402588,-0.31557273864746094,3.6170573234558105,,,,,,,,,,,,,,,,,
45,332,4960.13977098465,48845,1778802332.768063,253.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
46,337,4965.578949928284,49500,1778802338.207242,,,,0.0002586986811365932,-0.009999999776482582,0.5099499821662903,-0.3207957446575165,3.610629081726074,,,,,,,,,,,,,,,,,
47,340,5009.197355270386,50000,1778802381.8256474,,,,0.0002774578460957855,-0.009999999776482582,0.5049999952316284,-0.32000744342803955,3.610943078994751,0.0,200.0,0.0,-2.0,4.333333492279053,0.18000000715255737,0.0,0.0,,,,,,,,,
48,370,5041.179962158203,54000,1778802413.8082542,,,,0.0012450531357899308,-0.009999999776482582,0.46540001034736633,-0.3456685245037079,3.5735530853271484,,,,,,,,,,,,,,,,,
49,375,5046.590958356857,54680,1778802419.2192504,284.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
50,396,5070.491644382477,57680,1778802443.1199365,299.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
51,406,5081.731886386871,59080,1778802454.3601785,306.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
52,421,5391.097885847092,61001,1778802763.726178,316.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
53,425,5396.094870090485,61601,1778802768.7231622,319.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
54,429,5401.340649843216,62201,1778802773.968942,322.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
55,441,5415.12219285965,63824,1778802787.750485,331.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
56,447,5422.300030946732,64624,1778802794.928323,335.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
57,450,5425.797132253647,65024,1778802798.4254243,337.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
58,471,5451.536754608154,68000,1778802824.1650467,,,,0.0003373725339770317,-0.009999999776482582,0.32679998874664307,-0.4235438108444214,3.462195873260498,,,,,,,,,,,,,,,,,
59,481,5464.282926082611,69473,1778802836.9112182,360.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
60,490,5510.851036071777,70601,1778802883.4793282,366.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
61,497,5518.001873970032,71500,1778802890.630166,,,,0.00023682562459725887,-0.009999999776482582,0.29214999079704285,-0.4436289072036743,3.4314937591552734,,,,,,,,,,,,,,,,,
62,504,5526.0087168216705,72500,1778802898.637009,,,,0.0001801415637601167,-0.009999999776482582,0.28224998712539673,-0.4481232166290283,3.4225099086761475,,,,,,,,,,,,,,,,,
63,515,5538.119252920151,74033,1778802910.747545,384.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
64,522,5546.268248558044,75033,1778802918.8965406,389.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
65,530,5555.915244102478,76233,1778802928.5435362,395.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
66,534,5560.777504444122,76833,1778802933.4057965,398.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
67,539,5566.106205224991,77500,1778802938.7344973,,,,0.0014895698986947536,-0.009999999776482582,0.23274999856948853,-0.4705865979194641,3.3829188346862793,,,,,,,,,,,,,,,,,
68,547,5575.556144237518,78633,1778802948.1844363,407.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
69,555,5585.290999889374,79833,1778802957.919292,413.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
70,559,5882.394777774811,80201,1778803255.0230699,415.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
71,568,5893.650672912598,81500,1778803266.278965,,,,0.00025094905868172646,-0.009999999776482582,0.19314999878406525,-0.48653852939605713,3.357334613800049,,,,,,,,,,,,,,,,,
72,570,5896.113789558411,81801,1778803268.7420816,423.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
73,573,5899.517708301544,82201,1778803272.1460004,425.0,200.0,-2.0,,,,,,,,,,,,,,,,,,,,,,
